collection_id,property_id,property_name,collection_date,route_id,bags_collected,missed_pickups,completion_time,collector_id,region,ingested_at,processed_at
C001449,P005,Lakeview Terrace,2025-03-05,R15,113,1,20:02,D20,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001469,P008,Harbor Pointe,2025-05-10,R20,152,3,17:57,D06,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001495,P005,Lakeview Terrace,2025-02-26,R16,97,0,19:15,D14,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001516,P004,Birchwood Commons,2025-05-14,R10,138,1,21:16,D14,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001520,P003,Green Oaks,2025-02-02,R18,135,1,15:10,D07,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001532,P002,Maple Court,2025-03-01,R24,142,3,16:09,D06,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001565,P004,Birchwood Commons,2025-03-18,R19,136,2,16:08,D11,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001566,P003,Green Oaks,2025-01-24,R22,84,0,21:25,D06,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001641,P008,Harbor Pointe,2025-01-02,R17,60,0,16:04,D14,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001644,P004,Birchwood Commons,2025-01-27,R19,126,0,16:20,D06,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001645,P003,Green Oaks,2025-04-12,R19,124,1,16:20,D17,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001674,P004,Birchwood Commons,2025-03-23,R11,142,0,22:23,D16,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001678,P003,Green Oaks,2025-02-06,R19,41,1,16:33,D05,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001686,P001,Sunset Ridge,2025-02-04,R14,100,2,21:57,D09,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001702,P003,Green Oaks,2025-04-06,R20,121,0,17:53,D05,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001713,P006,Cedar Park,2025-06-04,R13,151,3,21:53,D14,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001715,P005,Lakeview Terrace,2025-04-18,R15,50,0,14:06,D16,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001727,P005,Lakeview Terrace,2025-02-18,R22,111,0,22:11,D13,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001728,P007,Willow Creek,2025-02-20,R23,73,0,16:45,D11,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001759,P008,Harbor Pointe,2025-04-22,R10,102,0,15:20,D18,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001772,P005,Lakeview Terrace,2025-02-12,R20,131,2,20:18,D18,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001786,P006,Cedar Park,2025-02-09,R13,58,0,18:40,D06,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001792,P008,Harbor Pointe,2025-05-01,R14,155,0,20:03,D07,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001805,P004,Birchwood Commons,2025-02-08,R20,81,0,18:45,D03,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001813,P001,Sunset Ridge,2025-05-11,R22,56,2,15:15,D03,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001834,P001,Sunset Ridge,2025-02-25,R14,120,0,16:21,D10,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001852,P001,Sunset Ridge,2025-03-24,R24,105,0,14:46,D05,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001859,P001,Sunset Ridge,2025-06-12,R18,137,0,18:31,D01,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001875,P002,Maple Court,2025-02-14,R21,70,0,21:55,D19,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001912,P003,Green Oaks,2025-05-03,R19,92,0,15:35,D02,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001920,P004,Birchwood Commons,2025-04-11,R21,156,0,16:30,D20,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001928,P004,Birchwood Commons,2025-03-09,R22,118,0,16:51,D10,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001938,P005,Lakeview Terrace,2025-06-09,R16,70,1,17:14,D20,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001951,P006,Cedar Park,2025-01-23,R13,74,0,19:58,D09,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001964,P006,Cedar Park,2025-05-15,R22,117,0,20:48,D09,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001969,P008,Harbor Pointe,2025-03-06,R21,99,0,19:56,D07,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001978,P004,Birchwood Commons,2025-02-06,R11,118,0,20:17,D13,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001015,P003,Green Oaks,2025-03-07,R14,92,1,16:03,D20,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001022,P008,Harbor Pointe,2025-01-11,R23,119,0,18:41,D06,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001050,P006,Cedar Park,2025-06-13,R16,101,0,21:11,D08,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001056,P006,Cedar Park,2025-06-07,R12,53,0,21:56,D02,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001063,P002,Maple Court,2025-06-17,R15,159,1,17:19,D15,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001075,P007,Willow Creek,2025-05-08,R10,62,0,21:14,D09,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001089,P007,Willow Creek,2025-01-18,R14,66,2,17:18,D17,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001094,P008,Harbor Pointe,2025-05-26,R17,113,2,14:47,D03,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001097,P001,Sunset Ridge,2025-04-11,R13,153,0,16:17,D18,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001099,P002,Maple Court,2025-04-05,R18,138,0,19:26,D15,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001116,P008,Harbor Pointe,2025-06-05,R16,105,2,17:32,D19,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001138,P005,Lakeview Terrace,2025-02-12,R21,78,1,22:34,D13,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001155,P008,Harbor Pointe,2025-01-23,R12,154,0,21:07,D16,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001170,P001,Sunset Ridge,2025-01-25,R23,159,0,18:29,D06,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001185,P006,Cedar Park,2025-02-05,R18,156,0,19:38,D18,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001208,P005,Lakeview Terrace,2025-03-16,R14,67,0,14:47,D19,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001226,P002,Maple Court,2025-06-14,R14,86,0,18:22,D14,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001243,P001,Sunset Ridge,2025-06-06,R20,144,0,14:52,D12,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001248,P003,Green Oaks,2025-05-26,R20,76,0,14:19,D06,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001273,P001,Sunset Ridge,2025-01-29,R19,136,0,16:32,D06,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001292,P003,Green Oaks,2025-04-13,R17,86,0,22:54,D20,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001295,P002,Maple Court,2025-05-26,R13,89,0,21:42,D03,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001320,P007,Willow Creek,2025-01-14,R12,160,1,20:46,D06,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001350,P007,Willow Creek,2025-05-07,R14,129,0,21:31,D04,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001353,P005,Lakeview Terrace,2025-06-26,R24,140,2,14:07,D02,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001358,P008,Harbor Pointe,2025-06-27,R10,67,0,14:42,D07,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001364,P002,Maple Court,2025-04-01,R15,95,0,17:09,D13,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001421,P007,Willow Creek,2025-04-23,R23,49,0,15:08,D17,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001424,P004,Birchwood Commons,2025-01-20,R23,106,0,22:19,D13,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001425,P002,Maple Court,2025-05-20,R19,100,0,18:41,D01,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001431,P001,Sunset Ridge,2025-06-24,R18,101,0,14:24,D13,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001451,P008,Harbor Pointe,2025-03-09,R17,42,1,21:00,D15,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001477,P008,Harbor Pointe,2025-01-25,R15,46,0,22:57,D17,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001517,P001,Sunset Ridge,2025-03-28,R15,128,1,20:55,D01,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001544,P002,Maple Court,2025-04-18,R10,96,1,14:20,D04,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001585,P007,Willow Creek,2025-04-02,R13,62,1,15:34,D04,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001587,P001,Sunset Ridge,2025-05-15,R11,81,0,19:02,D05,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001594,P001,Sunset Ridge,2025-01-25,R21,81,0,17:04,D20,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001624,P004,Birchwood Commons,2025-04-09,R10,148,0,17:37,D10,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001736,P008,Harbor Pointe,2025-01-25,R18,80,3,15:51,D20,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001769,P004,Birchwood Commons,2025-03-13,R23,139,1,21:16,D20,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001776,P008,Harbor Pointe,2025-04-23,R19,138,1,14:42,D17,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001801,P004,Birchwood Commons,2025-06-26,R11,124,1,16:58,D15,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001850,P008,Harbor Pointe,2025-01-14,R15,58,2,19:53,D13,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001851,P006,Cedar Park,2025-06-10,R16,62,0,19:39,D02,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001896,P001,Sunset Ridge,2025-06-23,R17,80,0,19:01,D09,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001904,P007,Willow Creek,2025-03-16,R11,127,0,16:53,D03,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001922,P007,Willow Creek,2025-04-21,R11,111,0,15:45,D05,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001939,P004,Birchwood Commons,2025-05-22,R12,42,0,22:37,D11,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001944,P007,Willow Creek,2025-04-24,R23,118,0,20:01,D18,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001945,P008,Harbor Pointe,2025-02-22,R16,141,2,22:21,D11,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001948,P004,Birchwood Commons,2025-04-01,R21,77,0,17:24,D20,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001971,P007,Willow Creek,2025-03-31,R24,123,0,20:04,D20,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001028,P001,Sunset Ridge,2025-06-27,R19,100,0,14:57,D01,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001041,P004,Birchwood Commons,2025-01-20,R12,82,2,18:04,D04,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001042,P001,Sunset Ridge,2025-05-03,R19,142,0,19:53,D09,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001053,P003,Green Oaks,2025-04-05,R10,70,3,22:52,D18,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001074,P006,Cedar Park,2025-04-30,R16,97,0,21:27,D14,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001137,P007,Willow Creek,2025-06-14,R16,130,1,15:33,D07,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001143,P003,Green Oaks,2025-05-26,R13,47,1,16:51,D07,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001198,P005,Lakeview Terrace,2025-02-06,R10,157,0,19:45,D08,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001207,P002,Maple Court,2025-02-13,R15,156,0,17:53,D18,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001211,P007,Willow Creek,2025-04-01,R17,65,0,15:33,D17,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001215,P004,Birchwood Commons,2025-04-02,R11,64,2,18:02,D05,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001216,P001,Sunset Ridge,2025-04-18,R12,125,1,17:30,D09,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001263,P007,Willow Creek,2025-04-01,R17,128,0,20:38,D11,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001277,P007,Willow Creek,2025-05-03,R23,88,0,16:03,D12,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001287,P007,Willow Creek,2025-06-09,R10,154,2,20:15,D07,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001315,P008,Harbor Pointe,2025-04-18,R18,88,0,15:12,D16,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001324,P003,Green Oaks,2025-01-07,R17,121,1,19:11,D08,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001346,P006,Cedar Park,2025-04-26,R19,89,0,17:36,D01,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001367,P001,Sunset Ridge,2025-05-13,R20,71,0,15:14,D04,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001370,P005,Lakeview Terrace,2025-02-22,R21,116,0,18:46,D01,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001376,P006,Cedar Park,2025-04-26,R18,72,0,21:16,D12,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001410,P007,Willow Creek,2025-06-18,R11,157,0,21:24,D16,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001412,P007,Willow Creek,2025-05-30,R11,45,0,14:54,D06,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001415,P002,Maple Court,2025-01-16,R10,148,0,15:28,D12,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001439,P002,Maple Court,2025-06-28,R10,84,0,20:45,D20,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001442,P001,Sunset Ridge,2025-01-06,R14,75,0,20:19,D03,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001463,P001,Sunset Ridge,2025-05-18,R19,100,1,22:33,D15,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001483,P001,Sunset Ridge,2025-05-06,R15,66,1,18:36,D14,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001528,P004,Birchwood Commons,2025-03-30,R14,76,0,20:37,D10,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001540,P001,Sunset Ridge,2025-03-06,R19,74,0,14:41,D09,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001550,P003,Green Oaks,2025-02-16,R15,115,1,14:49,D06,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001552,P005,Lakeview Terrace,2025-03-21,R12,75,0,16:36,D11,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001568,P007,Willow Creek,2025-03-02,R11,132,2,17:09,D18,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001603,P007,Willow Creek,2025-04-01,R24,116,1,18:20,D12,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001608,P002,Maple Court,2025-06-06,R19,113,0,20:01,D11,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001610,P004,Birchwood Commons,2025-05-22,R23,156,0,16:29,D12,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001665,P006,Cedar Park,2025-02-16,R17,107,0,20:56,D01,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001677,P007,Willow Creek,2025-06-29,R24,100,0,14:17,D11,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001683,P001,Sunset Ridge,2025-01-08,R21,151,2,16:58,D14,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001687,P006,Cedar Park,2025-03-24,R19,125,0,15:30,D16,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001698,P002,Maple Court,2025-04-28,R18,131,1,18:08,D12,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001704,P005,Lakeview Terrace,2025-03-24,R10,49,0,18:45,D18,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001709,P005,Lakeview Terrace,2025-01-03,R18,53,0,21:14,D15,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001721,P001,Sunset Ridge,2025-03-16,R21,98,2,18:22,D12,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001733,P004,Birchwood Commons,2025-05-23,R16,63,0,22:37,D13,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001739,P003,Green Oaks,2025-03-30,R11,127,0,19:04,D09,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001796,P001,Sunset Ridge,2025-05-05,R20,52,0,15:05,D01,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001802,P007,Willow Creek,2025-01-11,R17,88,0,21:10,D01,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001824,P008,Harbor Pointe,2025-06-22,R10,135,1,15:20,D19,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001826,P008,Harbor Pointe,2025-04-05,R15,109,0,17:14,D19,Midwest,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001831,P008,Harbor Pointe,2025-03-28,R16,60,0,18:53,D18,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001833,P006,Cedar Park,2025-01-28,R21,101,0,18:09,D08,West,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001841,P005,Lakeview Terrace,2025-04-29,R11,97,0,20:49,D07,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001843,P008,Harbor Pointe,2025-04-02,R18,58,1,18:20,D16,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001853,P003,Green Oaks,2025-01-17,R12,53,2,22:10,D08,Southeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001866,P005,Lakeview Terrace,2025-05-26,R23,128,1,17:56,D19,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
C001868,P003,Green Oaks,2025-03-21,R23,82,0,17:31,D13,Northeast,2026-06-25T06:46:29.225Z,2026-06-25T06:46:49.688Z
